               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032714,             0.03226,            0.034772,             0.32616,             0.70711,             0.44128,             0.27006,            0.034342,            0.031533,            0.034836,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03382,            0.030908,            0.034307,              0.3334,             0.67459,              0.4139,             0.28267,            0.030949,             0.03172,            0.034433,            0.008218,            0.008218,            0.008218
                  38,            0.033917,            0.032053,            0.034717,             0.33911,             0.77382,             0.47928,             0.33354,            0.033236,            0.029375,            0.034291,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033296,            0.028147,             0.03436,             0.44483,             0.70878,             0.53489,             0.34988,            0.029638,            0.029444,            0.033971,            0.008119,            0.008119,            0.008119
                  40,            0.031906,            0.030146,            0.034209,             0.43541,               0.599,             0.50491,             0.35426,            0.028059,            0.027801,            0.033591,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029864,            0.030169,            0.033796,             0.49368,             0.63519,             0.55297,             0.35389,            0.029603,            0.027361,            0.033156,             0.00802,             0.00802,             0.00802
                  42,            0.031431,            0.028645,            0.033407,              0.5534,             0.72607,             0.58716,             0.35496,            0.029476,            0.026951,            0.032838,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034286,             0.02727,            0.032982,             0.55113,              0.7341,             0.61271,             0.31513,            0.037596,            0.027343,            0.032295,            0.007921,            0.007921,            0.007921
                  44,            0.032287,            0.027021,            0.032415,             0.49327,             0.78575,             0.61288,              0.4241,            0.029912,            0.025692,            0.031835,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031006,            0.027057,             0.03252,             0.53129,              0.8446,             0.62645,             0.35562,            0.034497,            0.026509,            0.031151,            0.007822,            0.007822,            0.007822
                  46,            0.032281,            0.027795,             0.03109,             0.51961,             0.80268,             0.60048,             0.39459,            0.030797,            0.026036,            0.030482,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031369,            0.025585,            0.031398,             0.56379,             0.83189,             0.63109,              0.4397,            0.026594,            0.025924,            0.029816,            0.007723,            0.007723,            0.007723
                  48,            0.028527,            0.028611,            0.031064,             0.44659,             0.90244,             0.59884,             0.42974,            0.029635,            0.024541,            0.029837,           0.0076735,           0.0076735,           0.0076735
                  49,             0.03058,            0.024856,            0.030932,              0.5516,             0.95499,             0.68441,             0.48412,            0.033959,            0.023866,              0.0291,            0.007624,            0.007624,            0.007624
                  50,             0.03386,            0.023703,            0.029558,              0.5792,             0.93854,             0.68373,             0.48396,             0.02746,            0.023693,            0.028223,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031896,            0.023453,            0.029755,             0.53407,             0.95122,             0.67096,             0.47628,            0.031931,            0.025512,            0.028095,            0.007525,            0.007525,            0.007525
                  52,            0.030304,             0.02311,            0.029503,             0.55878,             0.95664,              0.6902,             0.48219,            0.026392,            0.023823,             0.02739,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030962,            0.024671,            0.028923,              0.5373,             0.97071,             0.70955,             0.48366,            0.031301,            0.025058,             0.02677,            0.007426,            0.007426,            0.007426
