               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10504,            0.052134,            0.039207,            0.030157,             0.18574,            0.042613,           0.0091655,            0.078683,            0.054985,            0.038924,            0.070526,           0.0032749,           0.0032749
                   1,            0.077226,            0.043041,            0.036385,            0.063924,             0.30923,            0.078303,            0.026302,             0.07938,            0.040335,            0.035543,            0.040494,           0.0065755,           0.0065755
                   2,            0.073908,            0.038671,            0.035346,             0.14114,             0.35863,             0.15511,            0.064063,            0.061039,             0.04134,            0.034525,            0.010428,           0.0098431,           0.0098431
                   3,            0.065456,            0.038626,            0.034808,             0.16591,             0.50546,             0.19232,            0.070239,            0.057366,            0.039692,            0.032483,           0.0098515,           0.0098515,           0.0098515
